Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
100,2021-06-02 09:41,Levitating (feat. DaBaby),Dua Lipa,203064,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
101,2021-06-02 09:43,Butter,BTS,164441,60,1xtkLqZcGPQZP9549WlmfH,0.534,0.159,7,-14.304,1,0.0288,0.917,0.0,0.109,0.184,80.047,200438
102,2021-06-02 09:46,MONTERO (Call Me By Your Name),Lil Nas X,123113,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
103,2021-06-03 08:49,Baarishein,Anuv Jain,207309,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
104,2021-06-03 08:51,Mishri,Anuv Jain,108023,79,2ePtv8MlBO9nuuXABqAfEX,0.748,0.734,0,-6.499,1,0.124,0.524,1.15e-05,0.0975,0.368,97.753,80081
105,2021-06-03 10:30,Baarishein,Anuv Jain,3640,0,02Ic9pia5uuFFF0DZmidaz,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295
106,2021-06-03 10:30,Baarishein,Anuv Jain,144,59,3UjGudrhckjEQjKHLR3p5G,0.751,0.857,1,-4.385,0,0.0752,0.31,0.0,0.0801,0.501,104.984,151999
107,2021-06-03 10:31,SugarCrash!,ElyOtto,80080,59,3UjGudrhckjEQjKHLR3p5G,0.751,0.857,1,-4.385,0,0.0752,0.31,0.0,0.0801,0.501,104.984,151999
108,2021-06-03 10:45,Higher Power,Coldplay,172429,79,2ePtv8MlBO9nuuXABqAfEX,0.748,0.734,0,-6.499,1,0.124,0.524,1.15e-05,0.0975,0.368,97.753,80081
109,2021-06-03 12:57,Break My Heart Myself (feat. Travis Barker),Bebe Rexha,5522,0,02Ic9pia5uuFFF0DZmidaz,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295
110,2021-06-03 13:00,Break My Heart Myself (feat. Travis Barker),Bebe Rexha,151999,61,5sbkFKdxVQ2FgEjKMvrHAL,0.344,0.873,10,-3.387,1,0.221,0.0932,0.0,0.153,0.307,170.041,192353
111,2021-06-03 13:01,SugarCrash!,ElyOtto,80080,0,7mAB9uFSQHhbbicE5Fy5HA,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252,243907
112,2021-06-03 13:06,Higher Power,Coldplay,211294,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
113,2021-06-03 13:09,Echo (with KSHMR),Armaan Malik,192352,65,74kCarkFBzXYXNkkYJIsG0,0.699,0.299,6,-12.599,1,0.0403,0.869,0.0,0.0724,0.459,118.969,212773
114,2021-06-03 13:24,Astronomy,Conan Gray,211814,66,0zHZSO80CTxNtvtRhveHRJ,0.63,0.729,6,-4.93,1,0.0287,0.123,8e-06,0.0786,0.44,127.919,234737
115,2021-06-03 17:09,Baarishein,Anuv Jain,207309,59,0pWcUM0z72DhTW7j0fa0QM,0.338,0.459,2,-8.827,1,0.027,0.533,1.33e-05,0.22,0.32,81.203,255739
116,2021-06-03 17:10,Alag Aasmaan,Anuv Jain,18995,77,4v7DgEMw6EvYyuQ4eWFD9l,0.735,0.584,1,-5.047,1,0.14,0.189,0.0,0.125,0.395,93.016,219187
117,2021-06-03 17:14,Sau Aasmaan,Armaan Malik,234737,59,48EDM7iimVXiKEOdo4AJk6,0.657,0.582,1,-6.735,1,0.0646,0.113,0.0,0.182,0.574,82.023,200861
118,2021-06-03 17:15,Besabriyaan,Armaan Malik,21163,67,1eqwjXdMTed8Pz3PLNcHe9,0.614,0.605,0,-5.63,1,0.0319,0.21,0.0,0.162,0.333,127.099,217867
119,2021-06-03 17:18,What If (I Told You I Like You),Johnny Orlando,219186,0,2XkujSisSbHTexbzVHHvYl,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693
120,2021-06-03 17:21,Everybody Wants You,Johnny Orlando,109165,86,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107
121,2021-06-03 17:25,Two of Us,Louis Tomlinson,217866,68,1iWHabUgUuuKLBa0TzTHfk,0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508,242956
122,2021-06-03 17:28,Wonder,Shawn Mendes,172692,61,5IF6IBPqbclVR7SQKmCIyA,0.703,0.628,0,-5.914,1,0.203,0.364,0.0,0.384,0.471,138.032,205217
123,2021-06-03 17:33,Before You Go,Lewis Capaldi,215106,85,5WtfUKzXircvW8l5aaVZWT,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307
124,2021-06-03 17:37,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,242956,81,1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
125,2021-06-03 17:47,Just Like You,Louis Tomlinson,205217,81,1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
